energies,oscillator strengths
3.505700000000012,8.523095897004628e-06
3.5058000000000122,8.527186231913862e-06
3.5059000000000125,8.531279532728225e-06
3.5060000000000127,8.53537580233651e-06
3.506100000000013,8.539475043631075e-06
3.506200000000013,8.543577259507806e-06
3.5063000000000133,8.547682452866149e-06
3.5064000000000135,8.551790626609124e-06
3.5065000000000137,8.555901783643292e-06
3.506600000000014,8.560015926878793e-06
3.506700000000014,8.564133059229362e-06
3.5068000000000144,8.568253183612281e-06
3.5069000000000146,8.57237630294844e-06
3.5070000000000148,8.576502420162315e-06
3.507100000000015,8.580631538181979e-06
3.507200000000015,8.58476365993911e-06
3.5073000000000154,8.588898788368976e-06
3.5074000000000156,8.593036926410482e-06
3.507500000000016,8.597178077006143e-06
3.507600000000016,8.601322243102093e-06
3.5077000000000162,8.60546942764809e-06
3.5078000000000165,8.609619633597531e-06
3.5079000000000167,8.613772863907472e-06
3.508000000000017,8.617929121538576e-06
3.508100000000017,8.622088409455189e-06
3.5082000000000173,8.626250730625295e-06
3.5083000000000175,8.630416088020552e-06
3.5084000000000177,8.634584484616274e-06
3.508500000000018,8.638755923391451e-06
3.508600000000018,8.642930407328748e-06
3.5087000000000184,8.647107939414533e-06
3.5088000000000186,8.651288522638824e-06
3.508900000000019,8.655472159995371e-06
3.509000000000019,8.659658854481605e-06
3.509100000000019,8.663848609098666e-06
3.5092000000000194,8.66804142685141e-06
3.5093000000000196,8.672237310748391e-06
3.50940000000002,8.676436263801907e-06
3.50950000000002,8.680638289027982e-06
3.5096000000000203,8.684843389446352e-06
3.5097000000000205,8.689051568080516e-06
3.5098000000000207,8.693262827957702e-06
3.509900000000021,8.697477172108892e-06
3.510000000000021,8.701694603568834e-06
3.5101000000000213,8.705915125376018e-06
3.5102000000000215,8.71013874057272e-06
3.5103000000000217,8.714365452204973e-06
3.510400000000022,8.718595263322588e-06
3.510500000000022,8.722828176979185e-06
3.5106000000000224,8.727064196232134e-06
3.5107000000000226,8.731303324142635e-06
3.510800000000023,8.735545563775666e-06
3.510900000000023,8.739790918200027e-06
3.511000000000023,8.74403939048832e-06
3.5111000000000234,8.748290983716972e-06
3.5112000000000236,8.752545700966225e-06
3.511300000000024,8.756803545320156e-06
3.511400000000024,8.76106451986668e-06
3.5115000000000243,8.765328627697547e-06
3.5116000000000245,8.769595871908366e-06
3.5117000000000247,8.773866255598571e-06
3.511800000000025,8.778139781871495e-06
3.511900000000025,8.782416453834298e-06
3.5120000000000253,8.78669627459803e-06
3.5121000000000255,8.790979247277615e-06
3.5122000000000257,8.795265374991846e-06
3.512300000000026,8.799554660863424e-06
3.512400000000026,8.803847108018922e-06
3.5125000000000264,8.808142719588829e-06
3.5126000000000266,8.812441498707528e-06
3.512700000000027,8.816743448513325e-06
3.512800000000027,8.821048572148435e-06
3.5129000000000272,8.825356872758991e-06
3.5130000000000274,8.829668353495064e-06
3.5131000000000276,8.83398301751065e-06
3.513200000000028,8.838300867963697e-06
3.513300000000028,8.842621908016095e-06
3.5134000000000283,8.846946140833689e-06
3.5135000000000285,8.851273569586274e-06
3.5136000000000287,8.855604197447617e-06
3.513700000000029,8.85993802759545e-06
3.513800000000029,8.86427506321149e-06
3.5139000000000293,8.868615307481425e-06
3.5140000000000295,8.872958763594945e-06
3.5141000000000298,8.877305434745719e-06
3.51420000000003,8.88165532413144e-06
3.51430000000003,8.886008434953778e-06
3.5144000000000304,8.890364770418443e-06
3.5145000000000306,8.894724333735137e-06
3.514600000000031,8.899087128117618e-06
3.514700000000031,8.903453156783644e-06
3.5148000000000312,8.907822422955033e-06
3.5149000000000314,8.91219492985764e-06
3.5150000000000317,8.916570680721367e-06
3.515100000000032,8.920949678780166e-06
3.515200000000032,8.925331927272059e-06
3.5153000000000323,8.929717429439133e-06
3.5154000000000325,8.934106188527568e-06
3.5155000000000327,8.938498207787577e-06
3.515600000000033,8.942893490473511e-06
3.515700000000033,8.94729203984378e-06
3.5158000000000333,8.951693859160911e-06
3.5159000000000336,8.956098951691529e-06
3.5160000000000338,8.960507320706365e-06
3.516100000000034,8.964918969480283e-06
3.516200000000034,8.969333901292254e-06
3.5163000000000344,8.973752119425392e-06
3.5164000000000346,8.978173627166941e-06
3.516500000000035,8.98259842780829e-06
3.516600000000035,8.98702652464497e-06
3.5167000000000352,8.991457920976682e-06
3.5168000000000355,8.995892620107279e-06
3.5169000000000357,9.000330625344782e-06
3.517000000000036,9.004771940001393e-06
3.517100000000036,9.009216567393487e-06
3.5172000000000363,9.013664510841625e-06
3.5173000000000365,9.018115773670577e-06
3.5174000000000367,9.022570359209295e-06
3.517500000000037,9.027028270790946e-06
3.517600000000037,9.031489511752909e-06
3.5177000000000374,9.035954085436785e-06
3.5178000000000376,9.04042199518839e-06
3.5179000000000378,9.044893244357787e-06
3.518000000000038,9.049367836299271e-06
3.518100000000038,9.053845774371382e-06
3.5182000000000384,9.058327061936904e-06
3.5183000000000386,9.062811702362906e-06
3.518400000000039,9.067299699020683e-06
3.518500000000039,9.071791055285834e-06
3.5186000000000393,9.076285774538212e-06
3.5187000000000395,9.080783860161978e-06
3.5188000000000397,9.085285315545563e-06
3.51890000000004,9.089790144081709e-06
3.51900000000004,9.094298349167457e-06
3.5191000000000403,9.098809934204153e-06
3.5192000000000405,9.103324902597474e-06
3.5193000000000407,9.107843257757408e-06
3.519400000000041,9.112365003098277e-06
3.519500000000041,9.11689014203875e-06
3.5196000000000414,9.12141867800183e-06
3.5197000000000416,9.125950614414874e-06
3.519800000000042,9.130485954709594e-06
3.519900000000042,9.135024702322063e-06
3.520000000000042,9.139566860692729e-06
3.5201000000000424,9.144112433266423e-06
3.5202000000000426,9.148661423492355e-06
3.520300000000043,9.153213834824124e-06
3.520400000000043,9.157769670719723e-06
3.5205000000000433,9.162328934641562e-06
3.5206000000000435,9.166891630056453e-06
3.5207000000000437,9.17145776043563e-06
3.520800000000044,9.176027329254745e-06
3.520900000000044,9.18060033999389e-06
3.5210000000000443,9.185176796137593e-06
3.5211000000000445,9.189756701174825e-06
