energies,oscillator strengths
3.5065000000000137,5.093003591172067e-06
3.506600000000014,5.094821337618281e-06
3.506700000000014,5.0966400682004695e-06
3.5068000000000144,5.0984597836370305e-06
3.5069000000000146,5.1002804846470316e-06
3.5070000000000148,5.102102171950203e-06
3.507100000000015,5.103924846266926e-06
3.507200000000015,5.105748508318268e-06
3.5073000000000154,5.107573158825944e-06
3.5074000000000156,5.109398798512349e-06
3.507500000000016,5.111225428100532e-06
3.507600000000016,5.113053048314221e-06
3.5077000000000162,5.114881659877805e-06
3.5078000000000165,5.1167112635163474e-06
3.5079000000000167,5.11854185995558e-06
3.508000000000017,5.120373449921907e-06
3.508100000000017,5.1222060341424e-06
3.5082000000000173,5.124039613344808e-06
3.5083000000000175,5.125874188257552e-06
3.5084000000000177,5.127709759609722e-06
3.508500000000018,5.129546328131088e-06
3.508600000000018,5.131383894552095e-06
3.5087000000000184,5.133222459603867e-06
3.5088000000000186,5.135062024018195e-06
3.508900000000019,5.136902588527558e-06
3.509000000000019,5.138744153865107e-06
3.509100000000019,5.140586720764673e-06
3.5092000000000194,5.142430289960776e-06
3.5093000000000196,5.144274862188602e-06
3.50940000000002,5.146120438184033e-06
3.50950000000002,5.14796701868362e-06
3.5096000000000203,5.149814604424606e-06
3.5097000000000205,5.151663196144914e-06
3.5098000000000207,5.1535127945831546e-06
3.509900000000021,5.155363400478621e-06
3.510000000000021,5.157215014571297e-06
3.5101000000000213,5.159067637601844e-06
3.5102000000000215,5.160921270311621e-06
3.5103000000000217,5.162775913442671e-06
3.510400000000022,5.164631567737724e-06
3.510500000000022,5.166488233940208e-06
3.5106000000000224,5.168345912794231e-06
3.5107000000000226,5.1702046050446045e-06
3.510800000000023,5.172064311436821e-06
3.510900000000023,5.173925032717068e-06
3.511000000000023,5.175786769632241e-06
3.5111000000000234,5.17764952292991e-06
3.5112000000000236,5.1795132933583525e-06
3.511300000000024,5.181378081666539e-06
3.511400000000024,5.183243888604141e-06
3.5115000000000243,5.185110714921516e-06
3.5116000000000245,5.18697856136974e-06
3.5117000000000247,5.188847428700567e-06
3.511800000000025,5.19071731766647e-06
3.511900000000025,5.192588229020601e-06
3.5120000000000253,5.194460163516846e-06
3.5121000000000255,5.196333121909757e-06
3.5122000000000257,5.198207104954619e-06
3.512300000000026,5.2000821134074e-06
3.512400000000026,5.201958148024787e-06
3.5125000000000264,5.2038352095641665e-06
3.5126000000000266,5.205713298783639e-06
3.512700000000027,5.207592416441998e-06
3.512800000000027,5.209472563298755e-06
3.5129000000000272,5.21135374011413e-06
3.5130000000000274,5.213235947649052e-06
3.5131000000000276,5.215119186665161e-06
3.513200000000028,5.2170034579248096e-06
3.513300000000028,5.218888762191055e-06
3.5134000000000283,5.220775100227674e-06
3.5135000000000285,5.222662472799162e-06
3.5136000000000287,5.224550880670719e-06
3.513700000000029,5.226440324608266e-06
3.513800000000029,5.22833080537844e-06
3.5139000000000293,5.2302223237485875e-06
3.5140000000000295,5.232114880486784e-06
3.5141000000000298,5.234008476361823e-06
3.51420000000003,5.235903112143207e-06
3.51430000000003,5.23779878860117e-06
3.5144000000000304,5.239695506506657e-06
3.5145000000000306,5.2415932666313435e-06
3.514600000000031,5.243492069747629e-06
3.514700000000031,5.245391916628623e-06
3.5148000000000312,5.2472928080481774e-06
3.5149000000000314,5.2491947447808535e-06
3.5150000000000317,5.251097727601948e-06
3.515100000000032,5.253001757287487e-06
3.515200000000032,5.254906834614213e-06
3.5153000000000323,5.256812960359603e-06
3.5154000000000325,5.258720135301872e-06
3.5155000000000327,5.260628360219948e-06
3.515600000000033,5.262537635893506e-06
3.515700000000033,5.264447963102937e-06
3.5158000000000333,5.2663593426293855e-06
3.5159000000000336,5.268271775254707e-06
3.5160000000000338,5.270185261761505e-06
3.516100000000034,5.272099802933118e-06
3.516200000000034,5.274015399553617e-06
3.5163000000000344,5.275932052407812e-06
3.5164000000000346,5.277849762281245e-06
3.516500000000035,5.279768529960201e-06
3.516600000000035,5.2816883562317045e-06
3.5167000000000352,5.283609241883529e-06
3.5168000000000355,5.285531187704164e-06
3.5169000000000357,5.287454194482872e-06
3.517000000000036,5.28937826300963e-06
3.517100000000036,5.291303394075185e-06
3.5172000000000363,5.2932295884710034e-06
3.5173000000000365,5.295156846989317e-06
3.5174000000000367,5.297085170423092e-06
3.517500000000037,5.299014559566048e-06
3.517600000000037,5.300945015212647e-06
3.5177000000000374,5.302876538158104e-06
3.5178000000000376,5.30480912919838e-06
3.5179000000000378,5.306742789130187e-06
3.518000000000038,5.3086775187509935e-06
3.518100000000038,5.3106133188590225e-06
3.5182000000000384,5.312550190253228e-06
3.5183000000000386,5.314488133733347e-06
3.518400000000039,5.316427150099856e-06
3.518500000000039,5.3183672401539825e-06
3.5186000000000393,5.3203084046977266e-06
3.5187000000000395,5.322250644533826e-06
3.5188000000000397,5.3241939604657935e-06
3.51890000000004,5.326138353297899e-06
3.51900000000004,5.328083823835155e-06
3.5191000000000403,5.33003037288336e-06
3.5192000000000405,5.331978001249052e-06
3.5193000000000407,5.333926709739549e-06
3.519400000000041,5.335876499162924e-06
3.519500000000041,5.33782737032801e-06
3.5196000000000414,5.339779324044413e-06
3.5197000000000416,5.341732361122506e-06
3.519800000000042,5.343686482373415e-06
3.519900000000042,5.345641688609058e-06
3.520000000000042,5.347597980642097e-06
3.5201000000000424,5.3495553592859794e-06
3.5202000000000426,5.351513825354917e-06
3.520300000000043,5.353473379663893e-06
3.520400000000043,5.355434023028668e-06
3.5205000000000433,5.357395756265769e-06
3.5206000000000435,5.3593585801924975e-06
3.5207000000000437,5.361322495626937e-06
3.520800000000044,5.363287503387939e-06
3.520900000000044,5.3652536042951325e-06
3.5210000000000443,5.367220799168931e-06
3.5211000000000445,5.36918908883052e-06
3.5212000000000447,5.3711584741018645e-06
3.521300000000045,5.373128955805711e-06
3.521400000000045,5.375100534765592e-06
3.5215000000000454,5.377073211805816e-06
3.5216000000000456,5.3790469877514715e-06
3.521700000000046,5.3810218634284445e-06
3.521800000000046,5.38299783966339e-06
3.521900000000046,5.384974917283754e-06
3.5220000000000464,5.386953097117776e-06
