distances,S0,S1,S2,S3,S4
1.5,0.009199229985824786,4.07055964508667,4.120598603788006,4.330409724838146,4.416943955653937
1.6,0.01650060052770641,4.076336556382362,4.121570957506184,4.313629329454417,4.424577393144858
1.7,0.025190226742779487,4.07951619329356,4.128140577806214,4.298762900508362,4.4337433024712745
1.8,0.03479447529616664,4.082427259644076,4.1396956935356455,4.287788058027231,4.443859125880979
1.9,0.04486016017017391,4.086745205159105,4.155456855504669,4.282062033554404,4.454359828026756
2.0,0.054984767450150684,4.09345853975252,4.174495257188053,4.282277163113442,4.464742487067975
2.1,0.06484507026152642,4.102994484422156,4.195720216638352,4.288659499735154,4.474608325996902
2.2,0.07421806027832645,4.115471462512936,4.218313898998109,4.300990643174132,4.483690545890568
2.3,0.0829921468171051,4.1306059476773855,4.241172834505083,4.318719805535643,4.491870379034142
2.4,0.09116927171635325,4.147993757433695,4.263415164210535,4.34101691550233,4.499176269372251
2.5,0.09884966630215786,4.1670768541359955,4.284121485267216,4.366873551214167,4.505762139276106
2.6,0.10621485032743294,4.187186319790745,4.30274055878324,4.395084245758654,4.51188399437165
2.7,0.11349578395402204,4.207580577544746,4.31888404076497,4.424344026370804,4.517858255009419
2.8,0.12094617783668582,4.227491218960477,4.332433018760331,4.453307023229339,4.524024654373146
2.9,0.12881706866073728,4.246191544596436,4.343550515506601,4.480697375336973,4.530714132020123
3.0,0.1373362042027111,4.26307680184437,4.352647936452653,4.5054090606150075,4.538221623126731
3.1,0.14669059570587706,4.27774738804792,4.3603142656037575,4.52661841093793,4.54678494495874
3.2,0.1570131680891791,4.2900689601973525,4.3672200615737005,4.543869214473921,4.556569572849574
3.3,0.16837568951405046,4.300193617713672,4.374024701979068,4.557125940521131,4.567661096018477
3.4,0.18077802854168112,4.308525750275823,4.381289881954969,4.566755904676877,4.580054730246769
3.5,0.19414196909428938,4.3156516281703885,4.389422435091796,4.573463261619071,4.593650841055761
3.6,0.2083098771204277,4.322248966372634,4.398641722922449,4.578178338775655,4.60825525900778
3.7,0.22304509136620254,4.328987428873018,4.40896648745468,4.581917536072917,4.623582293169108
3.8,0.23804942229935477,4.336457053461903,4.420231776751327,4.585658499731153,4.639273954236455
3.9,0.2529816767146258,4.3451172579833335,4.432109096725105,4.590236581334718,4.654921976390594
4.0,0.2674873091896188,4.355247417011048,4.444147734597683,4.596270285966238,4.670103613931967
4.5,0.32478027579600166,4.428147809494837,4.489674122149414,4.654237227521353,4.728320447450411
5.0,0.3599344569342975,4.496200091936104,4.5190102309604185,4.735113387198843,4.760564000213776
6.0,0.455374228150049,4.556671246454092,4.671463975125766,4.850958294795001,4.862194411011072
7.0,0.5411179433608595,4.672370791276597,4.763277970369475,4.938220143175434,4.950752578246601
8.0,0.6054850833970704,4.748522591854458,4.823281911770427,5.01287297222576,5.016429150656953
