distances,S0,S1,S2,S3,S4
3.4,0.1807797894689429,4.296245534761208,4.374462220004839,4.56719629129011,4.581447121356212
3.5,0.19414383491948684,4.303729095338013,4.382974982976561,4.572727611465551,4.594278934224691
3.6,0.2083117076126655,4.310635359432259,4.392382849592144,4.575876007060506,4.607706389836152
3.7,0.22304701923167158,4.317629634494055,4.402639417744322,4.577802095645711,4.621530594035417
3.8,0.23805070790012905,4.325303411177329,4.413560239685508,4.579647345663543,4.635512216224976
3.9,0.25298342813493946,4.3341308639016445,4.42484138066352,4.5824165964715595,4.649388761782361
4.0,0.2674887709563336,4.344421399517407,4.436087404143522,4.586881009018082,4.662888062767585
4.5,0.324780792133879,4.419253902243959,4.478081321135416,4.643412751011334,4.718236028121308
5.0,0.35993704072643595,4.4886340900547825,4.514758253171847,4.730524102845755,4.757357441007927
6.0,0.4553767695024362,4.558307179548871,4.672293018946182,4.851353039786788,4.862827700154934
7.0,0.5411200152275342,4.670952577643168,4.761440838115993,4.937491719605504,4.94967441039009
8.0,0.605486546393422,4.746744161569712,4.8216783181167,5.012660012876298,5.016262059304975
