distances,S0,S1,S2,S3,S4,S5,S6
3.75,0.22600288559897308,4.274430217928543,4.492303337942703,4.6184824865556475,4.642462090261927,4.868654219217039,4.869078326525751
3.8,0.2451740384549339,4.300156518433677,4.509941516843772,4.640262210074992,4.661582633566585,4.888204710511079,4.88849408955921
3.85,0.2635191588237831,4.3239215242381706,4.526777194702258,4.660522142626046,4.679866997399512,4.906789273727256,4.906985710895
3.9,0.28104628951496125,4.346035115417194,4.5428208943101644,4.67946911320733,4.69732714390903,4.924463094866876,4.924595147367739
3.95,0.2977678388556342,4.366732087459795,4.558087088706119,4.6972588670161155,4.713977960052283,4.941264625438366,4.941352745812033
4.0,0.31370940865144803,4.386198652952007,4.57260253683691,4.714021134583509,4.729846796410414,4.957242897544646,4.957301360832606
4.1,0.3433395974566338,4.421954880859738,4.599470531755757,4.744822901558657,4.759329924511343,4.986873097287745,4.986898663714528
4.2,0.37015753933565065,4.454095628245051,4.623644384484723,4.772460032448451,4.786003910429491,5.01364953802204,5.013660521721555
4.3,0.39437967912499516,4.48312191135506,4.645337932810366,4.797324297319548,4.810087846196417,5.037823407791087,5.037828105490885
4.4,0.41622315586437253,4.509391215757377,4.664763044745452,4.8197141757180395,4.83179957061171,5.059623356511038,5.059625533705928
4.5,0.4358994638037075,4.533188240734126,4.6821259404524875,4.8398785824388275,4.851350851215643,5.079266915050821,5.079267972447027
4.6,0.45360854277078033,4.55475464251223,4.6976210436449835,4.858034393827387,4.8689412345198315,5.096953540586215,5.096954089207531
4.7,0.46954067161641433,4.574308435959611,4.711433653191391,4.87438064271762,4.884761033254689,5.112875521682783,5.112875830598218
4.8,0.4838714974589493,4.592045934838493,4.723734455323289,4.88909753497919,4.898985498056254,5.127207000395582,5.127207202203743
4.9,0.4967616759681732,4.608144700981743,4.73467917620403,4.902348243766501,4.911774496698839,5.140104576935648,5.140104721527364
5.0,0.5083594546613313,4.622768234576298,4.744411797274183,4.914283575874123,4.923276073674947,5.151716418289524,5.151716505715494
5.1,0.5187985192010274,4.636063177578852,4.753061835773249,4.9250387563986795,4.933623494799497,5.162174209128069,5.162174252296475
5.2,0.5281993232902096,4.648162552637635,4.760746309730636,4.934736055719455,4.942937077861253,5.17159915679529,5.1715991732386675
5.3,0.5366746623217296,4.6591896890913596,4.767573965544137,4.943489815737337,4.951329379058973,5.18010293017905,5.180102934809888
5.4,0.5443184693394869,4.66924879294994,4.773635530735288,4.951395229949384,4.958893974753324,5.187778022109641,5.187778022596369
5.5,0.551217271580299,4.678436096913583,4.779014804115632,4.958539793593851,4.9657169529604355,5.194709396769038,5.194709396771647
