distances,S0,S1,S2,S3,S4,S5,S6
3.85,0.2635201704301835,4.336480474520496,4.53424772982473,4.66167424141413,4.680451156960497,4.9067485969843725,4.906951585923517
3.9,0.28104642807329583,4.358000703014595,4.550009735962096,4.680536022675658,4.6978747474853675,4.924434252701057,4.9245712144844696
3.95,0.29776896763996774,4.378140209051282,4.565010406685027,4.69825286750688,4.714495947166685,4.941246050320484,4.941337851439935
4.0,0.31370901896207215,4.397078433676675,4.579270320612848,4.714947813530827,4.73033644611247,4.957228867041224,4.957290060140466
4.1,0.34334171476348274,4.431868529063684,4.605664866872479,4.7456402958090615,4.759776667453842,4.986868566216246,4.986895593384551
4.2,0.37015827348886887,4.463141263053554,4.629400130605502,4.773183568205123,4.786410761108132,5.013646872496442,5.013658616007705
4.3,0.39437951277886896,4.49138775152563,4.650689113288714,4.797968777672615,4.810460002452245,5.037820351699291,5.0378254418401225
4.4,0.41622295247952934,4.5169554258103375,4.669741254232556,4.820291733394134,4.832141695312136,5.059621202067397,5.0596236433009905
4.5,0.43589930264261056,4.540118994138809,4.686759242818152,4.840398101698091,4.851665987232902,5.079265490206151,5.0792667284759485
4.6,0.4536091225195378,4.561113144032314,4.701935933868517,4.858503948800766,4.8692327579957135,5.096954678131517,5.0969553517314745
4.7,0.4695412893365756,4.58014764055077,4.7154529274983785,4.874805286431691,4.885030198752126,5.112876916480813,5.112877311877763
4.8,0.48387138522502937,4.597413041574521,4.7274789869866,4.889481395975469,4.8992332420916505,5.127206485126924,5.127206745269448
4.9,0.49676157377371055,4.6130836660121375,4.738169936817072,4.9026966633044,4.912003478087303,5.1401041896130115,5.140104373305736
5.0,0.5083594447974065,4.627317850522698,4.7476674513703125,4.914600475134847,4.923487961258795,5.151716343115763,5.1517164590593545
5.1,0.5187991139919177,4.640258857512438,4.756100140038791,4.925328093535636,4.933820318471065,5.162175787911162,5.1621758474025174
5.2,0.5282016917885812,4.652036483887067,4.763583989381997,4.935001851180408,4.943121216090712,5.171602582026426,5.171602605889218
5.3,0.5366758982686406,4.662767445149247,4.770222942382122,4.943731594199609,4.9514989671647704,5.180104536707976,5.180104544242658
5.4,0.5443184377227226,4.672555806975982,4.776109249066698,4.951615060294453,4.959049904960215,5.187777578262095,5.187777579078577
5.5,0.5512163954572316,4.6814954528876385,4.781325836629083,4.958740295762181,4.965860774518864,5.194708116448687,5.194708116451116
